,text,annotations,language,created_at,month,day,source
23,又是默默做实事的李易峰！！李易峰和公司博众星紧急从国外采购2000件VG1防护服捐赠到抗疫一线！明天就将到达武汉，定向发放到各医院的重症监护室！默默做公益从不声张，昨天和韩延导演直播时还说到要把口罩送到前线去！@李易峰 ,personal opinion,cn,19小时前,3,3,weibo
24,#俄罗斯禁止口罩等医疗物资出口#这事能理解。上个月倾国之力援助中国，毕竟GDP只比广东省高一点，还主要是卖资源和重工业，自己防疫物资生产力不高，如果一下暴发起来不堪设想。毛熊留着自己用吧，等中国有多了，可以援助你们。#天下之事#深圳小天超话 ,personal opinion,cn,1小时前,3,4,weibo
25,【#英国禁止两家公司口罩广告#：违反政府#英国不推荐使用口罩防疫#的建议，可能引发恐慌】英国广告标准局(ASA)禁止了两家公司的口罩广告。广告称用口罩可以防止新冠病毒的传播。英国广告标准局称这些广告违背了“不推荐使用口罩作为预防新冠病毒的措施”的官方建议，“可能会引起恐慌”。 ...全文,inform,cn,2分钟前,3,4,weibo
26,今天不用你们催我 我很我很自觉 我差点忘记自己是一个视频博主从2020年到现在的杂七杂八的视频我果然是机灵（懒惰敷衍）的博主啊哈哈哈每天都是吃喝玩睡 所以真的很无趣 但是我依旧是那个热爱生活的女孩子 大家能不出门就不要出去戴好口罩保护好自己呀等疫情结束我 ...全文,personal opinion,cn,31分钟前,3,4,weibo
27,【#伊朗打击囤积医疗物资# 违法者面临最高20年刑期甚至死刑】#周刊君与你共同战疫#近日，伊朗当局大力打击囤积口罩等医疗物资的现象。3月3日，伊朗司法部发言人称，违法者将面临5至20年刑期甚至面临死刑。伊朗当局称已加快消毒剂等医疗物资的生产，并将派遣30万支小组开展全国范围内的入户排查。 ...全文,inform,cn,2分钟前,3,4,weibo
28,#防骗微视频# 【男子#诈骗防疫物资获刑6年6个月# 曾遭民警怒斥：你是中国人吗】3月3日，#上海首例防疫物资诈骗案宣判#，被告人颜某被判处有期徒刑6年6个月。1月下旬，上海鲁女士在求购口罩过程中与伪装成归国富豪的颜某约定，以166万元价格买2700箱口罩，支付16万元后察觉被骗于是报案。 ...全文,inform,cn,2分钟前,3,4,weibo
29,没生病戴口罩是「错误信号」 瑞士女议员戴口罩被赶出议场一名瑞士女议员2日带着口罩进入议会，却被赶出议场，原因是议场管理部门认为，没有生病却戴口罩是传递「错误信号」。报导并指出，该名女议员是当天议场内唯一戴口罩的人。瑞士媒体报导，瑞士人民党议员布劳赫（Magdalena Martullo-Blocher）2 ...全文,inform,cn,3分钟前,3,4,weibo
30,守护夏都超话【男子脸太大口罩戴不全 民警上前提醒发现是个网逃】#逃犯因脸大戴不全口罩落网##抗击疫情公安在行动# 2月21日，江苏昆山一名男子逛超市时口罩没戴全，民警上前提醒发现是因他的脸太大，男子却始终躲躲闪闪。经查，该男子赵某因涉嫌盗窃被上海警方网上追逃，平时闭门不出，防疫期间因 ...全文,inform,cn,2分钟前,3,4,weibo
31,2020.03.04.                W.🌞             花红柳绿又是几天没出门楼下的桃花开的分外妖娆了真好每天盯着超市的牌子...今日终于忍不住了因为实在很想吃🍊然后回来的时候路过了菜市场好红火喔如果忽略口罩，完全看不出疫情的样子今天一早分外忙碌，弟弟，同桌的账户纷纷中了可转债 ...全文,personal opinion,cn,2分钟前,3,4,weibo
32,"大广赛超话#2020中国大学生好创意,为中国加油!武汉加油!# @全国大广赛组委会 作品名称:《为你而战》作者:于瑞滢学校:长沙理工大学指导老师:盘善荣作品简介:疫情当前，每个人都尽己所能为抗击“新冠”做出贡献。有这样一些人，披上一身白色战袍，毅然奔赴武汉。防护服与口罩下，是一张张平凡却 ...全文",inform,cn,2分钟前,3,4,weibo
33,#俄罗斯禁止口罩等医疗物资出口#【#俄罗斯禁止口罩等医疗物资出口#】当地时间4日，俄罗斯政府在其官网上发布公告，即日起至2020年6月1日，俄罗斯将禁止部分医疗物资的出口，包括口罩、绷带、一次性医用手套、一次性医疗防护服、医用防护镜、呼吸机、消毒液和外科手术服等，但用于国际人道主义援助以及 ...全文,inform,cn,2分钟前,3,4,weibo
34,생존신고!生存报告！모두 건강조심하기♡ 마스크 꼭 끼기♡ 손 잘 씻기♡#戴口罩##洗手##加油# ,other/unsure,cn,37分钟前,3,4,weibo
35,求助一下，哪位朋友手中还有口罩，德国斯图加特的几个华人工程师傅今天和我沟通，他们那边一个口罩也买不到，感觉很恐慌，其中有一位朋友说了下面这句话 ,crowdsourcing,cn,3分钟前,3,4,weibo
36,这场战疫中，每一种制服都承担了一种责任。等风雨经过后，我们脱下口罩，迎接您的到来#抗击疫情 央企行动##张学友周杰伦 等风雨经过# @中国东方航空 中国东方航空的微博视频 ,inform,cn,3分钟前,3,4,weibo
37,说真的 天天戴着那尖嘴口罩都快闷死了 #搞笑##沙雕# 视频姨的微博视频 ,personal opinion,cn,3分钟前,3,4,weibo
38,很多人不理解为什么一群旅意华侨和留学生千里迢迢跑回国，要给祖国带来风险和麻烦，为什么不老老实实在屋子里要去乘飞机转来转去影响那么多人。那是因为很多人没在当地，不知道“绝望”的感觉。意政府防控不力导致疫情失控，物资紧张，一个口罩都没有，去超市买食物都是高风险行为。且当地医疗系统已经 ...全文,personal opinion,cn,3分钟前,3,4,weibo
39,澳日韩两国民众抢口罩，也不排队，比国人素质差多了吧！#澳大利亚人也开始抢厕纸了# 烟雨迷离的情的微博视频 ,personal opinion,cn,24分钟前,3,4,weibo
40,【#威海回赠韩国27万只口罩# 仁川市政府曾向威海捐赠2万只口罩】3月4日，韩国仁川和釜山收到中国回赠的口罩。仁川市政府曾向中国威海捐赠2万只口罩，威海回赠20万只一次性口罩，附信称希望两座城市友谊长存。仁川市政府表示将把中方提供的口罩，优先分配给环卫工人和市政保安人员。#聚焦新冠肺炎疫情# ...全文,inform,cn,19分钟前,3,4,weibo
41,🎬｜实拍巴黎生活：真实记录法国巴黎药房，超市，地铁情况也许很多人都没想到，这场灾难席卷到了欧洲，也来到了法国。今天我想用这支视频，以一个客观冷静的态度给大家还原巴黎生活的真实情况。视频将分为以下三个部分：1️⃣截止到3月1日法国新闻信息的梳理和总结➕法国人为什么不戴口罩？2️ ...全文,marketing,cn,2小时前,3,4,weibo
42,虽然君儿后天才过生日借着给她送口罩的由头 偷偷准备惊喜蛋糕不会做 亲手做个舒芙蕾撑下场面把礼物和蛋糕拿出来的时候 君君说要哭了哈哈哈哈傻宝贝你是最重要最长久最懂我最爱的❤️一颗心 在两个身体里么么哒 ,personal opinion,cn,4分钟前,3,4,weibo
43,【出游勿忘消防安全】出门带着家人出去游玩要注意安全哦！口罩戴好，景区人多防踩踏，谨遵提示莫拥挤… 还是尽量不出门吧！ ,advice,cn,4分钟前,3,4,weibo
44,复工的第n天，口罩遮面每天素面朝天的上班。脖子也开始过敏了，起了好多小疹子，又不敢去医院，只能自己先搽点药缓解一下了。上次采购的食材消耗殆尽，又要开始一轮补货了。本来已经解封的路口不知怎么又开始设卡了，幸亏我只是路过不需要靠近，但还是有点害怕……（PS：左边是 ...全文,personal opinion,cn,4分钟前,3,4,weibo
45,【懂点儿啥33：注意啦！台湾正进行疫情“反谣言战”】#台湾谣言#近期，我国台湾地区出现了很多谣言，包括“我三姨在台湾焊井盖”、“台湾出现大量死尸”、“民进党员可领口罩”等。我国台湾地区政府、媒体，花了大力气辟谣，甚至专门点名了微博账号“台巴子想吃飞弹”……@懂点儿啥-董佳宁  ...全文,inform,cn,19分钟前,3,4,weibo
46,【云南丽江医药企业战疫情献爱心】#丽江全力抗击疫情#3月4日，丽江仁泰医药有限公司向市红十字会捐赠乙醇消毒液、84消毒液、医用口罩、医用隔离衣等物资，价值4.2908万元，助力新冠肺炎疫情防控。（记者  吴劲梅） ,inform,cn,4分钟前,3,4,weibo
47,【#日本将采购400万只口罩# 发给北海道民众】#周刊君与你共同战疫# 日本NHK新闻3月4日报道称，日本政府将采购400万只口罩发给北海道居民。按照每户约40只的标准，优先提供给北海道确诊病例较多的中富良野町和北见市。对于常住人口较多的家庭将追加发放，按每人两周所需口罩量配给。@新京报我们视频   ...全文,inform,cn,10分钟前,3,4,weibo
48,【全国首个#口罩自助售卖机#：刷身份证买，每人每天限2只N95】3月2日，江苏徐州推出#全国首个口罩自助售卖机#，每天投放800只。市民每24小时内可以购买两只N95口罩，一只12元，刷身份证购买。负责人表示，下一步会进行全市布点，推出有测量体温功能的二代机型。据了解，后续这台机器还会增加一次 ...全文,inform,cn,18分钟前,3,4,weibo
49,泰国直邮回来 ems慢得要死 等了我快一个月终于等到了 开心！质量很好幸亏没放弃[汗颜R]穗康中签的口罩质量差得要死 根本不同等级质量！可少量chu一部分！#口罩##没到摘口罩扎堆的时候# ,personal opinion,cn,5分钟前,3,4,weibo
50,鸡排烧仙草，跟下雨天最配，图三感谢朋友帮忙，儿童口罩到了。图二的小朋友下次粗门可以戴自己的口罩了 义乌市 ,personal opinion,cn,5分钟前,3,4,weibo
51,【#戴着口罩领分红# 西藏这个村的村民很高兴】3月2日，西藏昌都市卡若区拉多乡贡西村举行了集体产业分红仪式，惠及全村67户427人。57户一般牧户每户分到8800元，10户建档立卡贫困户每户分到9800元。2019年，贡西村建立了农牧中转站，全村67户都成为了合作社社员。合作社的运转资金来自卡若区扶贫投资的 ...全文,inform,cn,35分钟前,3,4,weibo
52,英国将NHS防疫等级提至最高级（四级），当宣布为四级时则意味着防疫为最高紧急状态，是一场全国性的医疗危机。在四级警报下，NHS必须集中报告并建立自己的事件小组，24/7全天候做到患者管理，警报，转诊和跟踪。宝宝们最近要做好自我防护，如果你知道哪里还能买到口罩或者消毒洗手液也可以分享一下给大 ...全文,inform,cn,49分钟前,3,4,weibo
53,#韩国最大华人聚集城市零感染#零感染是因为在韩的华人注意防护，也能直观了解中国情况。虽然零感染，但是还是不能放松警惕，韩国的增长速度太快了，当地的民众还是尽量宅在家里没必要绝不外出，外出一定要戴口罩、与人保持安全距离、不在人多的公共场所逗留太久，返回家要做好消毒，尽可能保护自已。感 ...全文,advice,cn,23分钟前,3,4,weibo
54,#女子非法潜入医院隔离病房偷窃#【关于杨某非法潜入广州市第八人民医院隔离病房偷窃的情况说明】2020年3月3日，嘉禾街派出所发布《紧急协查通告》称：“杨某曾密切接触过新冠肺炎确诊患者，今早从市八医院离开不知去向”，引起市民群众关注，现就有关情况说明如下：3月2日21:15分，社会人员杨某（女 ...全文,inform,cn,10小时前,3,3,weibo
55,【这里有N95口罩！#自助口罩售卖机现身街头#：一人一证一天只能买俩】近日，江苏徐州永安社区出现一台口罩售卖神器，市民刷身份证就可以直接购买到口罩。这台和自助饮料售卖机很相似的神器里存放的是N95口罩，每天提供800只，每只售价12元，每人限购2只。据了解，后续这台机器还会增加一次性医用口罩、 ...全文,inform,cn,7分钟前,3,4,weibo
56,【志愿者助力企业复工复产】3月4日，记者在金东区鞋塘办事处一家装配口罩生产线的企业看到，来自金华大堰河公益服务中心的数十名志愿者正在为企业装配零件。 在了解到企业用工紧张后，该志愿服务队经过分散培训和网络培训，第一时间投身企业复工复产。截至日前，团市委共计招募12000多名志愿者，参与到 ...全文,inform,cn,7分钟前,3,4,weibo
57,#口罩脸# 不用太多的文字，也无需煽情的表达，这张脸，放在哪里，都是一道风景线！ ,personal opinion,cn,7分钟前,3,4,weibo
58,为了鼓励大家，振作士气，云南医疗队的小哥哥小姐姐们给我们表演了手势舞，真是辛苦你们了，不仅要关心我们病情还要照顾我们心情，我们争取早日出舱让你们摘下口罩回自己家乡与亲人团聚 武汉·武汉市体育运动学校 总是幸福的小开心的微博视频 ,personal opinion,cn,7分钟前,3,4,weibo
59,【湿敷大法】来喽！！今天是你们有求必应的格格姐啦！评论区有人想看湿敷，马上安排！全程10分钟0废话，时常感人！内容感人！什么是湿敷？湿敷的好处有哪些？什么水适合湿敷？用什么工具湿敷？……3瓶我同款的湿敷水——奥尔滨健康水（消炎控油）Be plain洋甘菊（平价大碗）Dr.recalla海洋水 ...全文,marketing,cn,35分钟前,3,4,weibo
60,【#抗疫战士都是侠之大者#】疫情面前，有一群人始终坚守岗位。“口罩脸”是他们最美的印记、一身药袋是他们最酷的铠甲、用生命守护生命是他们倔强的坚持、与时间赛跑是他们对生命的承诺……疫情面前，还好有你在！#谢谢每个平凡的中国人#！ （via.@人民日报 ） ,personal opinion,cn,48分钟前,3,4,weibo
61,#英国禁止两家公司口罩广告#迷惑行为大赏？？？英国广告标准局以“广告带有诱导性，不负责任，里有未经证实可能会引起恐慌！”禁止两家公司的口罩广告！广告称口罩可以预防病毒：“添加一个高质量广告，是保护你免受病毒、细菌和其他空气污染物的最佳方式之一。” 走心的篮球的微博视频 ,inform,cn,25分钟前,3,4,weibo
62,从大年初一到现在没出过门。口罩都没用上。有没有跟我同款的，吃了睡，睡了吃体重反而掉了 ,personal opinion,cn,6分钟前,3,4,weibo
63,这次疫情，让整个国民公共卫生意识提升了N个档次。在生死面前有的冲锋在前，有的做缩头乌龟，人性尽显！健康防护，安全卫生将成为了社会的主流，口罩将成为日常必备品！ 小鹰出深山的微博视频 ,personal opinion,cn,6分钟前,3,4,weibo
64,防疫告一段落，全国已一盘棋，湖北稳定才安全。摘口罩是风向标，国内向好非疫区，国外爆发成疫区，担心从外埠输入。立判没有特效药，防疫需长效机制。出圈的酷燃视频 ,inform,cn,6分钟前,3,4,weibo
65,#广东抗击新型肺炎#【广州将量产“微孔膜防护口罩”】广州口罩生产技术再有新突破！“微孔膜防护口罩”将在广州量产，比普通口罩寿命高一倍以上。该口罩的中间层嵌入了PTFE纳米纤维微孔复合膜，对直径0.3微米的细小颗粒物的过滤性能超过95%（即达到KN95口罩防护级别）。 ,inform,cn,19分钟前,3,4,weibo
66,【逆行者致敬逆行者！武汉消防和河南医护隔墙拉歌 还送鸭脖致谢】湖北武汉，河南第二批援鄂医疗队所住酒店与消防救援站仅一墙之隔。3月2日晚，消防员拉起写有“逆行者支持逆行者”的横幅，为医护人员送去小零食致谢，双方戴着口罩隔着一道墙拉歌互动。（湖北消防）看看新闻Knews的秒拍视频 ,inform,cn,6分钟前,3,4,weibo
67,强就强在表哥给我买了个电动N95口罩除了丑没什么缺点了 ,personal opinion,cn,6分钟前,3,4,weibo
68,【药膳小食谱】#新型冠状病毒# #药膳# 复工开始啦，虽说疫情基本控制住了，但是各位宝宝出门上下班，还是要全副武装，不能掉以轻心呀。今天带来一份能够提高免疫力的药膳日式咖喱饭~关键时期，自身免疫力的提高，可比戴100层口罩都有用的多哦食谱：干香菇（泡水）大葱生姜蟹味菇色拉油小茴香 ...全文,inform,cn,6分钟前,3,4,weibo
69,【#美国口罩库存#占总需求1%还是10%？听证会数据让人懵了】在3月3日美国参议院健康委员会听证会上，美国卫生与公共服务部卡德莱克称，如果疫情在美国爆发，目前美国医务人员需要35亿个口罩，现在约有3500万只口罩，他表示仅占10%。但按此计算库存口罩只占所需1%。媒体懵了。  老板联播的微博视频 ,inform,cn,6分钟前,3,4,weibo
70,#都要平平安安的#【细心！消防员出警归队遇一小伙醉倒路边 下车施救先为其戴好口罩】2月29日，河南新乡，一队消防员在出警回来的途中，发现车道旁有1名男子躺在草丛中，一辆电动车翻到在旁边。消防员们赶紧下车查看情况，并帮其叫了救护车，守着他直到医护人员赶到。燃新闻的秒拍视频 ,inform,cn,7分钟前,3,4,weibo
71,#戴口罩后才发现的事实# “口罩脸”你有没有？长期佩戴口罩可能会引发各种皮肤问题，这期视频骄姐教你如何正确护理。 我就是天骄的微博视频 ,marketing,cn,7分钟前,3,4,weibo
72,【#口罩核心原材料供应紧张# 分析师：涨价十倍仍难找到稳定货源】随着口罩产能快速增加，核心原材料熔喷布供应吃紧。四川一家口罩生产企业对@新京报我们视频 表示，目前原材料由政府在调配控价，熔喷布此前价格是2、3万元，现在是8、9万元。业内分析师表示，目前20、30万元的熔喷布也难以找到固定货源 ...全文,inform,cn,11分钟前,3,4,weibo
73,#萌娃养成记##生活的模样# 真的假的呀.....吃饭前先每人来个维C补充剂。疫情蔓延，我们每个人都要保持良好的心态吃的好吃的有营养少去人多的地方注意自己的个人卫生。自己能做的只有这几点其他的听天由命吧。丹麦已经有10例新冠了。可是丹麦人的心大路上没有人戴口罩生活该怎样就怎样，只是药房的口罩 ...全文,personal opinion,cn,8分钟前,3,4,weibo
74,📰3.4太阳超级超级好白天上了三节课 每节课课间都钻被窝晚上吃饭前下去溜达了两圈 让我妈不急着做饭戴口罩也是有好处的啊hhh嘴咧到耳根了别人也看不到 因为有个小姐姐实在太可爱了满院子抓她的狗∪･ω･∪ 一圈一圈的逮不着 给我一顿乐回来的时候我妈刚好把鱼做好了洗洗手去厨房准备炒菜的 ...全文,personal opinion,cn,8分钟前,3,4,weibo
75,既然要去办公室加班，不要浪费口罩，吃个炸鸡外卖好了#朱一龙代言肯德基#  【朱一龙@朱一龙 】 ,personal opinion,cn,25分钟前,3,4,weibo
76,迷之操作，日本网民疯抢花岗岩，说可以防肺炎。网友: 伊朗舔墙，俄罗斯吃韭菜，印度喝牛尿，法国不准戴口罩。 世面的秒拍视频 ,inform,cn,8分钟前,3,4,weibo
77,神户男孩自从给我买了口罩，自己到今天只买到过一包七只装的。一个口罩的确缺，再个他本人压根儿没着急想方设法儿的去买过。经历多次缺货买不到的情况下终于买到一包时，他觉得还有很多，不用着急的。纵然我急得直冒北方口音，也是烦恼徒增，无济于事。然后这一个月前的口罩躺躺躺躺躺躺躺躺走 ...全文,personal opinion,cn,8分钟前,3,4,weibo
78,#火焰蓝兄弟# @甘肃森林消防  这位大侠除了目光呆滞和没戴口罩，看不出来什么毛病！ 微博视频 ,personal opinion,cn,19分钟前,3,4,weibo
79,【★马克龙宣布法国所有口罩被政府征用】 ,inform,cn,2小时前,3,4,weibo
80,终于能出小区去逛超市了，口罩是必须带上的徒步来到离家不远的【好家乡】超市，买了些肉和酱料，随性地炒了两道菜：芹菜香干炒腊肉&炝炒红肠，真是太久没吃到腊肉了，一口吃进心里，安逸啊~ #宅家美食pk赛##复工便当盒##宅家美食日记# 乌鲁木齐 ,personal opinion,cn,56分钟前,3,4,weibo
81,#商学院原创# 【热点 | 三夫户外业绩预报由盈转亏 加码“口罩生意”能否扭转困局】3月1日，三夫户外（002780.SZ）发布公告称，北京三夫户外用品股份有限公司全资子公司江苏三夫户外用品有限公司(以下简称“公司”或“受让方”)与北京得清纳米环保科技有限公司(以下简称“得清纳米”或“目标公司”)、王 ...全文,inform,cn,9分钟前,3,4,weibo
82,【200304 北京到达】李紫婷超话 #李紫婷横冲直撞20岁# 口罩兜住的小脸圆嘟嘟！安全第一～@火箭少女101_李紫婷 【视频禁止二改，转载请注明出处】视频：sweet 李紫婷MimiLee后援会官博的微博视频 ,marketing,cn,29分钟前,3,4,weibo
83,网友投稿：3月2日，进站得摘口罩，没有间距，您怎么看？#北京爆料#北京 ,crowdsourcing,cn,9分钟前,3,4,weibo
84,俄罗斯吃韭菜，伊朗添圣墙，印度练瑜伽，日本用花岗岩，印（佛教）经文纸口罩，韩国靠喊哈利路亚来预防新冠病毒，五花八门的方式说明蒙昧不分国籍，不分制度，不分宗派，不是那个国家所专有 ,personal opinion,cn,9分钟前,3,4,weibo
85,#上海战疫##上海加油##平凡之光申心动人# 【辛苦了，城市的“守夜人”】一场疫情把往日点头之交的情分拉拢了许多，现在的我们会自觉地在他们面前驻足，等他们查看出入证、抬手测温、确认体温正常、放行。这一幕在进出小区时反复上演，尽管隔着口罩，却让我们有足够的时间感受他们的模样。#身边的沪卫者 ...全文,personal opinion,cn,9分钟前,3,4,weibo
86,#全球疫情##日本疫情# 中国驻日本大使馆近期发推：“为支持、协助日本应对新冠肺炎疫情，在无偿提供检测用试剂盒之后，中国又捐赠了5000件防护服及10万只口罩，其中一部分已于2月27日、28日完成交付。今后我们也将根据日本方面的需求，在力所能及的范围提供支援与帮助，和日本的大家一起共渡难关。”评 ...全文,inform,cn,10分钟前,3,4,weibo
